CHP ID,Pregnancy,PNC Visit Rate,PNC Visit Missed - #,Total U1 Assessments,Total U1 Treatments,Total U5 Assessments,Total U5 Treatments,U5 Malaria,U5 Diarrhea,U5 Pneumonia,On Time Referral f/u Treatment U5,Missed Visits,%mRDT,All Malaria Assessments,All Malaria Treatments,Act 6pack Issue,mRDT Used,Sales,Community Events,Households Registered
042d8caa-5ff0-4b35-8aac-80e7015a76e9,0,1,0,2,1,5,4,2,2,0,0,0,1,2,2,3,2,204,0,88
31ac0ec5-b051-46f8-87a5-70ea32470a7c,0,0,0,1,0,4,1,0,0,1,0,0,1,2,0,0,2,622.39,0,64
36bad11a-26f3-457b-b6a3-766486f12f59,0,0,0,3,1,5,2,0,0,2,0.666666667,1,0,0,0,0,0,0,0,126
375f2f22-3c54-412d-9d9c-8da850e00b96,0,0,0,3,3,6,4,2,1,1,0,0,1,5,4,7,5,752.21,0,127
54c2f3c2-79b0-4dd3-98f2-d8a4c474583b,1,0,1,3,0,10,1,0,1,0,0,0,0.2,1,0,0,1,643.6,0,122
59a3d58c-8875-4b11-a2e1-784befb328f4,0,0,0,4,1,11,2,1,1,0,1,0,0.636363636,7,4,12,7,625.69,0,114
87c3139a-77a2-470d-b403-0901459d07ec,0,0,0,3,0,10,1,1,0,0,0,0,0.5,3,2,4,3,312.1,0,129
87c7fd88-d0d2-4097-ba4b-b24314ce78fb,2,1,0,3,0,11,3,2,1,0,0,0,1,3,3,7,3,0,1,126
96bba9a4-1408-4f0b-a809-2e43bd11e281,1,0.666666667,1,2,2,7,7,3,4,0,0,0,1,3,1,2,3,178,0,143
99451954-d7e1-41d8-abb3-1c8731e108cf,0,0,0,0,0,2,1,0,1,0,1,0,1,1,0,0,1,60,0,132
a31c4893-0ecd-4818-8d1a-809d63473471,1,0,0,1,0,5,1,0,1,0,0.5,1,0,0,0,0,0,626,1,206
aaec6e7c-3ca2-493c-adeb-b0118a155f1d,0,0,0,0,0,9,9,8,1,0,0,0,1,9,8,12,9,0,0,86
af48ebd8-692c-402b-9d27-bb82a438622f,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,35,1,63
c4aa351f-9209-42cf-a077-ddea0a352a28,0,0,0,2,2,12,6,2,1,3,1,0,0.666666667,2,1,1,2,570,0,142
01783ebd-7fb0-4d34-afbe-0c89ea5a2e3c,0,1,0,3,0,8,0,0,0,0,1,0,0.2,1,0,0,1,0,0,83
08aaea96-9241-402d-bc99-69da1c1033ea,1,0,0,1,1,8,5,0,3,2,0,0,0,0,0,0,0,2850,1,96
0a0e3195-8e32-41f7-9ffb-6c2bcb1fe5a2,0,0,0,1,1,8,2,2,0,0,0,0,1,4,2,2,4,1985.32,1,59
0ec6cd20-a0ce-4874-8619-208e44466ca5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,0,77
0f89f173-628b-44be-9b6e-fac42b631b4e,0,0,0,4,1,9,6,4,2,0,0,0,0.857142857,6,4,5,6,146.56,0,72
102db98a-af41-4722-bd0e-cf0a8f2084ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
10da0212-488a-4617-93e7-11ab3ee1f32f,0,1,0,2,1,9,2,0,1,1,1,0,1,2,0,0,2,229.2,2,98
25dcd943-df27-4dc5-9b39-9188f3cff31a,1,0,0,1,0,6,1,0,0,1,0,3,1,1,0,0,1,0,0,86
2c247783-cb2b-463f-8ed5-ae4fada3509b,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2ce5fac7-5a7d-48fd-8342-5e172b985b75,0,0,0,0,0,7,5,0,5,0,0,0,0,0,0,0,0,0,0,72
2dbad8a9-1976-4e9c-ad28-47f2cd91ee39,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,68
3e863701-9d13-482a-8d56-573245c3b38e,0,1,0,1,0,9,2,2,0,0,0,0,0.777777778,7,2,2,7,0,0,136
3ea87398-7da1-4d08-9cfa-42f672490cdc,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,107
492b6f0d-0c46-4519-ba7f-887c99508a24,0,0,0,0,0,3,1,0,0,1,1,0,1,2,0,0,2,2870,0,77
61ec12ad-aa1a-4c61-b90a-a1de65f25873,0,0,0,1,0,6,0,0,0,0,1,0,1,1,0,0,1,0,0,79
6b70dc1f-a672-46c8-bd83-0880f2fa44ef,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,100
74c78258-9347-4332-8d16-d8781965dfc2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,396,1,123
7958617b-8d4d-48ea-ab83-749f5810fc71,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,146.56,1,64
843658e7-4a16-4d3f-b0b1-e2939afa7652,1,0,0,2,0,10,6,0,4,2,0,0,0.285714286,2,2,4,2,2037.56,2,133
98a5e1b8-35db-4cc3-95c5-6b77becc45a3,0,0,0,2,1,6,2,2,0,0,1,0,1,3,1,1,3,495.31,1,50
a4184098-e9cb-48fb-ac8a-39ff542e17e8,0,1,0,1,1,5,2,1,0,1,0,0,0.333333333,1,1,2,1,542.83,3,77
ab43420e-543f-4333-9dd4-3cd4239b641d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60
dddc97b5-3a1d-4198-8750-0473192124a7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,79
e194ae9b-799c-4372-9470-9c24bd8573d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
eeda0fdb-8977-4f9b-ad43-ccdaa40ee7bb,0,0,0,5,3,12,7,1,2,4,0.75,1,1,1,1,2,1,1747.28,3,86
fcb75a61-dc65-42a1-b5d8-b778bdd69d42,1,0,1,2,0,15,1,0,0,1,0.333333333,2,0.25,1,0,0,1,0,0,81
05c54a68-6a07-4c88-bb02-9599984a76a9,0,0,0,0,0,6,1,1,0,0,0,0,1,1,1,1,1,0,0,63
0f79e33e-dd59-4928-b1b6-44e44c84ec41,0,0,0,1,0,3,1,1,0,0,0,0,1,1,1,2,1,840.14,0,105
14f40a15-8577-4c20-8675-89459c0c16b0,2,0,0,0,0,2,2,2,0,0,0,0,1,2,2,2,2,0,0,114
1a21800f-c80e-4393-9949-5f835f0c8f0f,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,2,1055,2,124
36e7017a-aed5-4d2c-a3fd-3c6a4d567b49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
3b7a587b-b747-4b1c-8244-1365e77ee6be,0,0,1,0,0,3,3,0,1,2,0,0,0.5,1,0,0,1,0,0,85
3c65ce16-1d44-44a2-8f94-57b5957851b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
3d6f87b1-ad0f-4174-b06d-ad96dcf460f4,1,0,0,2,0,8,3,2,1,0,1,0,1,7,4,11,7,0,2,123
3f9fc1eb-96ca-4e0c-ae67-8e0f65e718b1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,73.28,0,126
49a736bb-932c-4a76-8f22-b59dd4a87d3d,1,0,0,1,0,7,0,0,0,0,0,0,0.333333333,3,0,0,3,0,0,137
49ae69d9-83dd-42bb-abeb-f0ef8c4563ca,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,119
4aec94f3-d63f-4e3a-9109-d399408d9ee0,0,0,0,2,0,4,0,0,0,0,1,0,1,2,0,0,2,0,1,142
5124f032-4b59-4c06-b6df-1306a9462289,1,1,0,1,0,6,5,0,2,3,0,0,1,2,0,0,2,434.4,0,63
5301836d-ff16-42bd-878e-a7a920c98d4d,0,0,0,0,0,3,1,1,0,0,0,0,1,2,1,2,2,0,0,115
5c5db8db-c988-4384-9d74-c6c02456aa68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
6a30530a-f846-4358-b511-a7fb4660423c,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78
84183886-7348-4296-b82e-9fb12d986d25,1,1,0,1,0,4,1,1,0,0,1,0,1,1,1,2,1,730,0,141
922c24d6-f2d9-4069-bd19-266314d967c5,0,0,0,2,2,5,3,0,2,1,0.333333333,2,0,0,0,0,0,0,0,108
a2720d23-6705-4931-b229-16b1b0484f52,0,0,0,1,1,4,2,2,0,0,1,0,1,4,3,6,4,0,1,71
a31f7714-a7df-4bdc-8641-a9709b87b496,0,1,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,490,2,110
a67b1bed-3797-4e24-8a46-d98d84e3137c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
a91cc798-ab27-4b24-9dc7-9885c31efdde,1,0,0,2,1,6,5,3,1,1,1,0,1,4,3,5,4,563.28,0,142
aa25cdf3-758a-4be2-a216-a242432c3219,0,0,0,3,4,8,9,5,0,4,0.5,1,1,8,4,8,8,0,1,113
b0485b1b-14af-4ee5-a815-c292908ead85,0,0,0,2,1,11,5,5,0,0,0,0,1,10,4,7,10,219.83,0,64
b0b7ce33-83f8-44c5-a05a-612677c9005e,0,1,0,1,0,7,2,0,2,0,0,0,0,0,0,0,0,141.28,0,122
b10ba742-46ea-4021-a85b-15f6b044a33c,1,0,0,0,0,2,1,1,0,0,0,0,1,2,1,2,2,0,0,77
bfaa160b-3fff-4753-ba2a-4d308c2dd8f5,0,0,0,0,0,4,3,3,0,0,0,0,1,3,1,2,3,0,0,75
d79e4c4a-2d53-4159-95ec-eba89e6369f4,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,68,0,78
eb00ac08-fba1-4410-ac4c-f0f502733c7f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
00e26dd1-5287-4da1-ab5a-8590f3589d60,1,1,0,3,2,9,4,3,1,0,0.5,1,1,3,3,4,3,176,0,92
0a100b14-ba14-4d9b-92bb-f76d69b14659,1,0,0,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,94
0f4dfc29-1189-4bba-a93d-9714717ef65b,0,0,0,2,1,11,2,2,0,0,0,0,0.75,3,2,2,3,0,1,83
15fbe320-b408-4454-b362-9ee9afd8655e,0,1,0,0,0,5,6,4,0,2,1,0,1,5,2,6,5,299,1,133
1e6505f9-8968-45e8-9820-196785416fec,0,0,0,1,0,6,1,1,0,0,0,0,1,2,1,4,2,0,0,71
235159e9-4c03-4036-98cb-ad8a0a1fef40,0,1,0,2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,77
2543aad2-851d-42dc-af70-91a64aa53f1c,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,94
33b5fe95-5354-42a2-89de-88f48579fbb5,0,0,0,3,0,11,0,0,0,0,0,0,1,1,0,0,1,580,1,57
3837d0e5-a1dc-4f47-b31f-c17b53dd6321,0,0,0,2,1,10,6,6,0,0,0,0,1,9,6,8,9,415,0,62
45437c21-1a78-4d68-a2f2-c376c173f7e2,1,0,0,5,0,18,1,0,0,1,0.5,1,0.153846154,2,2,6,2,764,0,86
4971b77c-94be-4605-ba96-a827814a4b11,0,0,0,1,0,6,2,1,0,1,0,0,0.5,1,1,2,1,974,0,74
4ee7cc92-3fdf-42ed-9b17-d8bd2543e93d,1,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,79
70ae7e69-07f1-498d-b7c7-12ee4670f885,0,0,0,1,0,11,1,0,1,0,0,0,0.666666667,4,0,0,4,0,0,139
7da44d6c-7e29-4826-9e89-3dd2b6f8791b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,82
9a664454-7866-4d6f-915f-1fd8fdb4d6c9,0,1,0,2,1,9,7,1,1,5,1,0,0.333333333,2,1,1,2,1088,0,113
a02d7b21-7a35-4587-9f63-ca0645c6dc26,2,0,0,2,1,10,2,0,2,0,1,0,0,0,0,0,0,0,0,75
a57c6de2-b275-407f-b086-4663a0825b5d,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,490,0,79
b49c6755-2257-4604-b1b6-a0405e9096e7,0,0.5,0,1,1,3,2,2,0,0,0,0,1,3,2,2,3,0,1,76
bb6efc55-a2b4-477c-b8f6-847c31dc46eb,0,1,0,0,0,13,1,0,0,1,1,0,0,0,0,0,0,0,0,87
c2aeb514-a0f8-4afe-81c3-7f980f602634,0,0,0,0,0,8,0,0,0,0,0,0,0.4,2,1,2,2,0,1,109
cd37127c-a05a-4b96-9aee-9b63566dc4c6,0,0,0,1,0,5,2,1,1,0,0,0,0.5,1,1,3,1,0,0,70
cdec1136-423b-4599-a84e-09aee0ce64a6,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,83
d7456a6f-7f33-4da1-acae-69cf29b78779,0,0,0,3,0,7,0,0,0,0,0,0,0.4,2,1,3,2,146.56,0,127
dc01479c-38d9-4f55-ad91-69d7cc4650a9,0,0,0,1,2,2,3,1,1,1,0,0,1,3,2,3,3,429,0,97
de9dd020-8798-492d-a5e8-38ee6685c7c3,0,0,0,0,0,5,3,2,0,1,0,0,0.666666667,2,2,3,2,0,0,79
dfeba18d-153b-46bb-bdd6-de3bae2d5b95,0,0,0,1,1,5,3,2,0,1,0,0,0.5,2,2,2,2,0,0,86
f2e3b7e4-700c-4073-ae48-5f5db352f24b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.56,0,57
f6575247-0eb4-436a-9b05-2661a704cd9c,0,0,0,3,3,14,10,7,3,0,1,0,1,9,6,8,9,0,1,90
0339c423-07aa-4db0-b4eb-65e163b716e7,2,0,0,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,113
0374ba1f-742a-4f10-b973-83ccb08a318c,1,0,0,4,0,12,0,0,0,0,0,0,1,2,0,0,2,0,0,93
